Cidade,UF,Populacao,Domicilios,Populacao urbana,Renda media,Empresas CNPJ relacionadas,Desentupidoras Google,Empresas Google Maps,Concorrentes com site,Concorrentes 24h,Total de avaliacoes,Media das avaliacoes,Maior numero de avaliacoes,Google Ads,Concorrencia SEO,Busca desentupidora,Busca desentupimento,Busca limpa fossa,Saneamento,Rede de esgoto,Distancia da cidade grande (km),Quantidade de cidades proximas,Area potencial de atendimento,Preco medio,Potencial residencial,Potencial comercial,Potencial industrial,Potencial condominios,Nota concorrencia,Nota demanda,Nota mercado,Nota oportunidade,Observacoes,Nota Oportunidade Parcial (Pop x %Saneamento),Ranking Parcial
Vitória de Santo Antão,PE,144243,,,,,,,,,,,,,,,,,"26,73","173,91",,,,,,,,,,,,,,38556,246
Varginha,MG,143676,,,,,,,,,,,,,,,,,"87,88","551,02",,,,,,,,,,,,,,126262,30
Três Lagoas,MS,143523,,,,,,,,,,,,,,,,,84,"757,87",,,,,,,,,,,,,,120559,34
Teófilo Otoni,MG,142851,,,,,,,,,,,,,,,,,"61,76","271,45",,,,,,,,,,,,,,88225,94
Caraguatatuba,SP,142248,,,,,,,,,,,,,,,,,"74,01","522,62",,,,,,,,,,,,,,105278,55
Cachoeirinha,RS,141503,,,,,,,,,,,,,,,,,"82,57","407,77",,,,,,,,,,,,,,116839,40
Salto,SP,141111,,,,,,,,,,,,,,,,,"90,32",466,,,,,,,,,,,,,,127451,26
Ji-Paraná,RO,140101,,,,,,,,,,,,,,,,,"1,23",42,,,,,,,,,,,,,,1723,415
Barcarena,PA,139076,,,,,,,,,,,,,,,,,"19,01",52,,,,,,,,,,,,,,26438,281
Crato,CE,139027,,,,,,,,,,,,,,,,,"27,6",100,,,,,,,,,,,,,,38371,248
Itapipoca,CE,138978,,,,,,,,,,,,,,,,,"18,27","61,71",,,,,,,,,,,,,,25391,288
Conselheiro Lafaiete,MG,138946,,,,,,,,,,,,,,,,,"69,87","412,59",,,,,,,,,,,,,,97082,73
Altamira,PA,138749,,,,,,,,,,,,,,,,,"43,38",270,,,,,,,,,,,,,,60189,158
Vespasiano,MG,138583,,,,,,,,,,,,,,,,,"78,73","350,36",,,,,,,,,,,,,,109106,47
Santa Cruz do Sul,RS,138270,,,,,,,,,,,,,,,,,"21,44","161,72",,,,,,,,,,,,,,29645,274
Araruama,RJ,137906,,,,,,,,,,,,,,,,,"72,23","129,72",,,,,,,,,,,,,,99610,69
Resende,RJ,137697,,,,,,,,,,,,,,,,,"89,64","437,43",,,,,,,,,,,,,,123432,32
Jaú,SP,137409,,,,,,,,,,,,,,,,,"94,14","789,49",,,,,,,,,,,,,,129357,22
Sapucaia do Sul,RS,136572,,,,,,,,,,,,,,,,,"18,81","101,48",,,,,,,,,,,,,,25689,284
Guarapari,ES,136311,,,,,,,,,,,,,,,,,"48,11","205,57",,,,,,,,,,,,,,65579,147
Araras,SP,135744,,,,,,,,,,,,,,,,,"94,7","928,47",,,,,,,,,,,,,,128550,24
Itaituba,PA,135369,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Apucarana,PR,134910,,,,,,,,,,,,,,,,,"94,85","713,8",,,,,,,,,,,,,,127962,25
Sabará,MG,134576,,,,,,,,,,,,,,,,,"64,19","327,62",,,,,,,,,,,,,,86384,97
São Mateus,ES,134423,,,,,,,,,,,,,,,,,"54,75","139,48",,,,,,,,,,,,,,73597,124
Votorantim,SP,133510,,,,,,,,,,,,,,,,,"91,68","430,48",,,,,,,,,,,,,,122402,33
Bragança,PA,132489,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Valinhos,SP,132258,,,,,,,,,,,,,,,,,"85,06","634,69",,,,,,,,,,,,,,112499,44
Sertãozinho,SP,132176,,,,,,,,,,,,,,,,,"95,62","472,46",,,,,,,,,,,,,,126387,29
Pinhais,PR,131255,,,,,,,,,,,,,,,,,"96,77","548,33",,,,,,,,,,,,,,127015,28
Barbacena,MG,129695,,,,,,,,,,,,,,,,,"92,79","348,01",,,,,,,,,,,,,,120344,35
Colatina,ES,129301,,,,,,,,,,,,,,,,,"81,66",243,,,,,,,,,,,,,,105587,54
Tatuí,SP,129130,,,,,,,,,,,,,,,,,"80,8","382,15",,,,,,,,,,,,,,104337,57
Sarandi,PR,128106,,,,,,,,,,,,,,,,,"54,12",220,,,,,,,,,,,,,,69331,134
Bento Gonçalves,RS,127977,,,,,,,,,,,,,,,,,"0,55",5,,,,,,,,,,,,,,704,428
Piraquara,PR,127433,,,,,,,,,,,,,,,,,"82,96","466,29",,,,,,,,,,,,,,105718,53
Itatiba,SP,127112,,,,,,,,,,,,,,,,,"74,36","282,91",,,,,,,,,,,,,,94520,80
Barretos,SP,126957,,,,,,,,,,,,,,,,,"91,96","764,84",,,,,,,,,,,,,,116750,42
Almirante Tamandaré,PR,125861,,,,,,,,,,,,,,,,,"58,58","312,8",,,,,,,,,,,,,,73729,122
Arapongas,PR,124838,,,,,,,,,,,,,,,,,"84,12","567,1",,,,,,,,,,,,,,105014,56
Sorriso,MT,124665,,,,,,,,,,,,,,,,,"48,7","365,24",,,,,,,,,,,,,,60712,156
São Gonçalo do Amarante,RN,124495,,,,,,,,,,,,,,,,,"31,94","78,49",,,,,,,,,,,,,,39764,242
Itaguaí,RJ,124021,,,,,,,,,,,,,,,,,"27,41",100,,,,,,,,,,,,,,33994,260
Araguari,MG,123432,,,,,,,,,,,,,,,,,"95,44","509,23",,,,,,,,,,,,,,117804,37
Birigui,SP,123340,,,,,,,,,,,,,,,,,"86,95","465,26",,,,,,,,,,,,,,107244,49
Umuarama,PR,123059,,,,,,,,,,,,,,,,,"95,14","762,78",,,,,,,,,,,,,,117078,39
Igarassu,PE,123017,,,,,,,,,,,,,,,,,"4,22","25,48",,,,,,,,,,,,,,5191,389
Catalão,GO,122760,,,,,,,,,,,,,,,,,"59,01",392,,,,,,,,,,,,,,72441,125
Bagé,RS,121928,,,,,,,,,,,,,,,,,"62,16","327,89",,,,,,,,,,,,,,75790,117
Guaratinguetá,SP,121916,,,,,,,,,,,,,,,,,"88,85","455,78",,,,,,,,,,,,,,108322,48
Formosa,GO,121559,,,,,,,,,,,,,,,,,"85,12","406,86",,,,,,,,,,,,,,103471,62
Jandira,SP,121550,,,,,,,,,,,,,,,,,"88,06","165,35",,,,,,,,,,,,,,107037,51
Eunápolis,BA,121067,,,,,,,,,,,,,,,,,"9,96","23,73",,,,,,,,,,,,,,12058,358
Nova Lima,MG,120959,,,,,,,,,,,,,,,,,"18,95","75,18",,,,,,,,,,,,,,22922,308
Uruguaiana,RS,120819,,,,,,,,,,,,,,,,,"88,54","271,51",,,,,,,,,,,,,,106973,52
Simões Filho,BA,120419,,,,,,,,,,,,,,,,,"34,71","113,91",,,,,,,,,,,,,,41797,235
Várzea Paulista,SP,119655,,,,,,,,,,,,,,,,,"82,69","226,77",,,,,,,,,,,,,,98943,71
Marituba,PA,119437,,,,,,,,,,,,,,,,,"12,95",4,,,,,,,,,,,,,,15467,337
Paulo Afonso,BA,119418,,,,,,,,,,,,,,,,,"32,28","149,81",,,,,,,,,,,,,,38548,247
Catanduva,SP,119275,,,,,,,,,,,,,,,,,"93,9",500,,,,,,,,,,,,,,111999,45
Ribeirão Pires,SP,118954,,,,,,,,,,,,,,,,,"76,04","374,79",,,,,,,,,,,,,,90453,88
Santana,AP,118803,,,,,,,,,,,,,,,,,"1,19","9,42",,,,,,,,,,,,,,1414,422
Araxá,MG,118786,,,,,,,,,,,,,,,,,"85,85","506,48",,,,,,,,,,,,,,101978,65
Itanhaém,SP,118495,,,,,,,,,,,,,,,,,"49,35","486,01",,,,,,,,,,,,,,58477,166
Luís Eduardo Magalhães,BA,118382,,,,,,,,,,,,,,,,,"59,55","252,09",,,,,,,,,,,,,,70496,130
Codó,MA,118283,,,,,,,,,,,,,,,,,"9,62",35,,,,,,,,,,,,,,11379,362
São Lourenço da Mata,PE,118258,,,,,,,,,,,,,,,,,"30,15","94,49",,,,,,,,,,,,,,35655,256
Itabira,MG,118053,,,,,,,,,,,,,,,,,"86,57","336,56",,,,,,,,,,,,,,102198,64
Camboriú,SC,117324,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Passos,MG,116951,,,,,,,,,,,,,,,,,"88,77","533,61",,,,,,,,,,,,,,103817,59
Tubarão,SC,116725,,,,,,,,,,,,,,,,,"40,67","107,8",,,,,,,,,,,,,,47472,213
Paulínia,SP,116674,,,,,,,,,,,,,,,,,"94,74","232,35",,,,,,,,,,,,,,110537,46
Breves,PA,116058,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Cubatão,SP,114870,,,,,,,,,,,,,,,,,"57,57","149,66",,,,,,,,,,,,,,66131,143
Nova Serrana,MG,114791,,,,,,,,,,,,,,,,,"70,36","516,28",,,,,,,,,,,,,,80767,105
Tangará da Serra,MT,114603,,,,,,,,,,,,,,,,,"22,23",187,,,,,,,,,,,,,,25476,287
Itacoatiara,AM,113917,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Paragominas,PA,113498,,,,,,,,,,,,,,,,,"11,09","44,86",,,,,,,,,,,,,,12587,355
Itumbiara,GO,113322,,,,,,,,,,,,,,,,,"91,18","266,1",,,,,,,,,,,,,,103327,63
Planaltina,GO,112304,,,,,,,,,,,,,,,,,"77,38","233,93",,,,,,,,,,,,,,86901,95
Manacapuru,AM,111751,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Jataí,GO,111634,,,,,,,,,,,,,,,,,"84,94","577,77",,,,,,,,,,,,,,94822,79
Cambé,PR,110923,,,,,,,,,,,,,,,,,"96,64","622,52",,,,,,,,,,,,,,107196,50
Lavras,MG,110682,,,,,,,,,,,,,,,,,"83,93","453,26",,,,,,,,,,,,,,92895,84
São Pedro da Aldeia,RJ,110677,,,,,,,,,,,,,,,,,"74,05",67,,,,,,,,,,,,,,81956,101
Açailândia,MA,110611,,,,,,,,,,,,,,,,,"1,43",10,,,,,,,,,,,,,,1582,420
Santo Antônio de Jesus,BA,109791,,,,,,,,,,,,,,,,,"20,92","81,12",,,,,,,,,,,,,,22968,307
Vilhena,RO,109651,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Erechim,RS,109609,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Itabaiana,SE,109250,,,,,,,,,,,,,,,,,"21,13","37,65",,,,,,,,,,,,,,23085,305
Ariquemes,RO,109170,,,,,,,,,,,,,,,,,"2,25","18,59",,,,,,,,,,,,,,2456,408
Coronel Fabriciano,MG,108708,,,,,,,,,,,,,,,,,"79,43","272,11",,,,,,,,,,,,,,86347,98
Maranguape,CE,108622,,,,,,,,,,,,,,,,,"11,83","74,68",,,,,,,,,,,,,,12850,352
Muriaé,MG,108447,,,,,,,,,,,,,,,,,"88,42","483,6",,,,,,,,,,,,,,95889,77
Patos,PB,108104,,,,,,,,,,,,,,,,,"12,75","36,42",,,,,,,,,,,,,,13783,347
Bacabal,MA,107755,,,,,,,,,,,,,,,,,"4,48",15,,,,,,,,,,,,,,4827,391
Novo Gama,GO,107663,,,,,,,,,,,,,,,,,"43,11","102,43",,,,,,,,,,,,,,46414,218
Ubá,MG,107423,,,,,,,,,,,,,,,,,"80,44","298,95",,,,,,,,,,,,,,86411,96
Itaperuna,RJ,107297,,,,,,,,,,,,,,,,,"85,33",405,,,,,,,,,,,,,,91557,87
Ourinhos,SP,106911,,,,,,,,,,,,,,,,,"93,88","528,73",,,,,,,,,,,,,,100368,67
Caldas Novas,GO,106820,,,,,,,,,,,,,,,,,"50,71","92,4",,,,,,,,,,,,,,54168,183
Ituiutaba,MG,106775,,,,,,,,,,,,,,,,,"87,43","564,09",,,,,,,,,,,,,,93353,81
Ipojuca,PE,106539,,,,,,,,,,,,,,,,,"19,21","117,65",,,,,,,,,,,,,,20466,314
Poá,SP,106355,,,,,,,,,,,,,,,,,"97,56","262,16",,,,,,,,,,,,,,103760,61
Balsas,MA,105974,,,,,,,,,,,,,,,,,"3,77","5,12",,,,,,,,,,,,,,3995,397
Lagarto,SE,105957,,,,,,,,,,,,,,,,,"7,78","40,49",,,,,,,,,,,,,,8243,375
Assis,SP,104858,,,,,,,,,,,,,,,,,"95,87","416,03",,,,,,,,,,,,,,100527,66
Santa Cruz do Capibaribe,PE,104854,,,,,,,,,,,,,,,,,0,"16,39",,,,,,,,,,,,,,0,436
Abreu e Lima,PE,104248,,,,,,,,,,,,,,,,,"22,45","91,47",,,,,,,,,,,,,,23404,303
Campo Mourão,PR,104122,,,,,,,,,,,,,,,,,"95,49","607,44",,,,,,,,,,,,,,99426,70
Aracruz,ES,103363,,,,,,,,,,,,,,,,,"77,88","284,37",,,,,,,,,,,,,,80499,106
Itaúna,MG,103272,,,,,,,,,,,,,,,,,"90,17","377,08",,,,,,,,,,,,,,93120,82
Pará de Minas,MG,102844,,,,,,,,,,,,,,,,,"93,96","338,85",,,,,,,,,,,,,,96632,75
Iguatu,CE,102588,,,,,,,,,,,,,,,,,"15,99",31,,,,,,,,,,,,,,16404,330
Francisco Beltrão,PR,102312,,,,,,,,,,,,,,,,,"78,99","485,73",,,,,,,,,,,,,,80816,104
Japeri,RJ,102171,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Parintins,AM,101855,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Cidade Ocidental,GO,101570,,,,,,,,,,,,,,,,,"35,27","52,55",,,,,,,,,,,,,,35824,254
Leme,SP,101537,,,,,,,,,,,,,,,,,"94,06","487,11",,,,,,,,,,,,,,95506,78
São Cristóvão,SE,101213,,,,,,,,,,,,,,,,,"26,51","37,5",,,,,,,,,,,,,,26832,278
Votuporanga,SP,100568,,,,,,,,,,,,,,,,,"96,09","540,7",,,,,,,,,,,,,,96636,74
Caçapava,SP,100071,,,,,,,,,,,,,,,,,"78,62","293,9",,,,,,,,,,,,,,78676,112
Paracatu,MG,99005,,,,,,,,,,,,,,,,,"72,45","322,71",,,,,,,,,,,,,,71729,127
Cruzeiro do Sul,AC,98916,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Serra Talhada,PE,98816,,,,,,,,,,,,,,,,,"72,34",127,,,,,,,,,,,,,,71483,128
Corumbá,MS,98751,,,,,,,,,,,,,,,,,"52,02","244,82",,,,,,,,,,,,,,51370,194
Ponta Porã,MS,98598,,,,,,,,,,,,,,,,,"55,92","322,52",,,,,,,,,,,,,,55136,178
Caieiras,SP,98549,,,,,,,,,,,,,,,,,"82,81","205,42",,,,,,,,,,,,,,81608,102
Barra do Piraí,RJ,98506,,,,,,,,,,,,,,,,,"80,92",288,,,,,,,,,,,,,,79711,110
Cajamar,SP,98365,,,,,,,,,,,,,,,,,"75,92","167,3",,,,,,,,,,,,,,74679,120
Cacoal,RO,98280,,,,,,,,,,,,,,,,,"55,45",107,,,,,,,,,,,,,,54496,182
Mairiporã,SP,97835,,,,,,,,,,,,,,,,,"32,09","98,84",,,,,,,,,,,,,,31395,266
Pato Branco,PR,97821,,,,,,,,,,,,,,,,,"91,87","447,75",,,,,,,,,,,,,,89868,90
Rio Largo,AL,97658,,,,,,,,,,,,,,,,,"15,78",45,,,,,,,,,,,,,,15410,339
Manhuaçu,MG,97328,,,,,,,,,,,,,,,,,"91,22",230,,,,,,,,,,,,,,88783,93
Ubatuba,SP,97096,,,,,,,,,,,,,,,,,"39,97","144,58",,,,,,,,,,,,,,38809,245
Lajeado,RS,96879,,,,,,,,,,,,,,,,,"2,09","6,46",,,,,,,,,,,,,,2025,412
Itajubá,MG,96855,,,,,,,,,,,,,,,,,"78,68","262,98",,,,,,,,,,,,,,76206,116
Avaré,SP,96450,,,,,,,,,,,,,,,,,"82,33","347,97",,,,,,,,,,,,,,79407,111
Paranavaí,PR,96209,,,,,,,,,,,,,,,,,"95,62","566,78",,,,,,,,,,,,,,91995,86
Tucuruí,PA,96119,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
São João da Boa Vista,SP,96080,,,,,,,,,,,,,,,,,"88,81","395,27",,,,,,,,,,,,,,85329,100
Navegantes,SC,96046,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Primavera do Leste,MT,96006,,,,,,,,,,,,,,,,,"71,21","399,44",,,,,,,,,,,,,,68366,138
Guaíba,RS,95946,,,,,,,,,,,,,,,,,"31,11","204,4",,,,,,,,,,,,,,29849,271
Lucas do Rio Verde,MT,95792,,,,,,,,,,,,,,,,,"37,33","165,47",,,,,,,,,,,,,,35759,255
Mogi Mirim,SP,95742,,,,,,,,,,,,,,,,,"84,73",450,,,,,,,,,,,,,,81122,103
Saquarema,RJ,95315,,,,,,,,,,,,,,,,,"69,04","60,1",,,,,,,,,,,,,,65805,144
São João del Rei,MG,94468,,,,,,,,,,,,,,,,,"95,51","427,84",,,,,,,,,,,,,,90226,89
Patrocínio,MG,94357,,,,,,,,,,,,,,,,,"94,72",425,,,,,,,,,,,,,,89375,91
Guanambi,BA,93488,,,,,,,,,,,,,,,,,"48,9","293,2",,,,,,,,,,,,,,45716,221
Esmeraldas,MG,93103,,,,,,,,,,,,,,,,,"11,74","104,22",,,,,,,,,,,,,,10930,367
Redenção,PA,92694,,,,,,,,,,,,,,,,,"4,74","23,74",,,,,,,,,,,,,,4394,395
Gravatá,PE,92429,,,,,,,,,,,,,,,,,"20,25","118,2",,,,,,,,,,,,,,18717,322
Itapeva,SP,92393,,,,,,,,,,,,,,,,,"73,76","271,16",,,,,,,,,,,,,,68149,140
Cáceres,MT,91767,,,,,,,,,,,,,,,,,"7,94","39,5",,,,,,,,,,,,,,7286,380
Moju,PA,91760,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Unaí,MG,91320,,,,,,,,,,,,,,,,,"68,79",362,,,,,,,,,,,,,,62819,152
Caratinga,MG,90890,,,,,,,,,,,,,,,,,"62,69","178,25",,,,,,,,,,,,,,56979,173
Araripina,PE,90504,,,,,,,,,,,,,,,,,"41,2","122,89",,,,,,,,,,,,,,37288,250
Arujá,SP,90273,,,,,,,,,,,,,,,,,"71,51","246,43",,,,,,,,,,,,,,64554,148
Gurupi,TO,90209,,,,,,,,,,,,,,,,,"59,42","336,95",,,,,,,,,,,,,,53602,185
Valença,BA,90053,,,,,,,,,,,,,,,,,"69,43","115,64",,,,,,,,,,,,,,62524,153
Canaã dos Carajás,PA,89524,,,,,,,,,,,,,,,,,"30,38","453,89",,,,,,,,,,,,,,27197,277
Quixadá,CE,88846,,,,,,,,,,,,,,,,,"15,82","83,56",,,,,,,,,,,,,,14055,344
Santa Inês,MA,88249,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Pinheiro,MA,88091,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Ijuí,RS,87848,,,,,,,,,,,,,,,,,"22,25","44,64",,,,,,,,,,,,,,19546,318
Barra do Corda,MA,87757,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
São Bento do Sul,SC,87661,,,,,,,,,,,,,,,,,"40,38",186,,,,,,,,,,,,,,35398,258
Lorena,SP,87468,,,,,,,,,,,,,,,,,"91,64","212,35",,,,,,,,,,,,,,80156,108
Sant'Ana do Livramento,RS,87329,,,,,,,,,,,,,,,,,"37,8","100,81",,,,,,,,,,,,,,33010,262
Concórdia,SC,87206,,,,,,,,,,,,,,,,,"22,19","60,92",,,,,,,,,,,,,,19351,319
Macaíba,RN,87056,,,,,,,,,,,,,,,,,"2,9","17,39",,,,,,,,,,,,,,2525,405
Tianguá,CE,86968,,,,,,,,,,,,,,,,,"16,36","70,44",,,,,,,,,,,,,,14228,343
Jacobina,BA,86896,,,,,,,,,,,,,,,,,"12,78","8,3",,,,,,,,,,,,,,11105,363
Picos,PI,86701,,,,,,,,,,,,,,,,,"49,22","135,41",,,,,,,,,,,,,,42674,232
Pacatuba,CE,86564,,,,,,,,,,,,,,,,,"32,11","56,3",,,,,,,,,,,,,,27796,275
Quixeramobim,CE,86431,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Itapema,SC,86116,,,,,,,,,,,,,,,,,"67,35","157,74",,,,,,,,,,,,,,57999,171
Goiana,PE,85497,,,,,,,,,,,,,,,,,"48,72","101,54",,,,,,,,,,,,,,41654,236
Aquiraz,CE,85316,,,,,,,,,,,,,,,,,"13,52","37,73",,,,,,,,,,,,,,11535,360
Seropédica,RJ,84794,,,,,,,,,,,,,,,,,"0,63",53,,,,,,,,,,,,,,534,429
