Ranking,Cidade,UF,Populacao,NotaOportunidadeParcial,Status,SERP_Keyword,Sociais,Diretorios,Marketplaces,SitesProprios,TotalResultadosSERP,IndiceConcorrenciaFraca,BarraConcorrenciaFraca,NotaFinal,Observacoes
38,Barreiras,BA,171634,117260,🟡 livre,desentupidora Barreiras,1,2,0,6,9,0.3333,███░░░░░░░,156347,
39,Umuarama,PR,123059,117078,🟡 livre,desentupidora Umuarama,2,2,0,4,8,0.5000,█████░░░░░,175617,
40,Cachoeirinha,RS,141503,116839,🟡 livre,desentupidora Cachoeirinha,1,0,0,9,10,0.1000,█░░░░░░░░░,128523,
41,Paranaguá,PR,150104,116796,🟡 livre,desentupidora Paranaguá,2,0,0,7,9,0.2222,██░░░░░░░░,142751,
42,Barretos,SP,126957,116750,🟡 livre,desentupidora Barretos,1,0,0,8,9,0.1111,█░░░░░░░░░,129722,
43,Francisco Morato,SP,171476,114872,🟡 livre,desentupidora Francisco Morato,0,0,0,9,9,0.0000,░░░░░░░░░░,114872,
44,Valinhos,SP,132258,112499,🟡 livre,desentupidora Valinhos,1,0,0,8,9,0.1111,█░░░░░░░░░,124999,
45,Catanduva,SP,119275,111999,🟡 livre,desentupidora Catanduva,2,0,0,7,9,0.2222,██░░░░░░░░,136888,
46,Paulínia,SP,116674,110537,🟡 livre,desentupidora Paulínia,0,0,0,9,9,0.0000,░░░░░░░░░░,110537,
47,Vespasiano,MG,138583,109106,🟡 livre,desentupidora Vespasiano,1,0,0,8,9,0.1111,█░░░░░░░░░,121229,
48,Guaratinguetá,SP,121916,108322,🟡 livre,desentupidora Guaratinguetá,1,1,0,7,9,0.2222,██░░░░░░░░,132394,
49,Birigui,SP,123340,107244,🟡 livre,desentupidora Birigui,2,0,0,7,9,0.2222,██░░░░░░░░,131076,
50,Cambé,PR,110923,107196,🟡 livre,desentupidora Cambé,0,0,0,9,9,0.0000,░░░░░░░░░░,107196,
51,Jandira,SP,121550,107037,🟡 livre,desentupidora Jandira,1,0,0,8,9,0.1111,█░░░░░░░░░,118930,
52,Uruguaiana,RS,120819,106973,🟡 livre,desentupidora Uruguaiana,2,1,0,5,8,0.3750,████░░░░░░,147088,
53,Piraquara,PR,127433,105718,🟡 livre,desentupidora Piraquara,1,0,0,8,9,0.1111,█░░░░░░░░░,117464,
54,Colatina,ES,129301,105587,🟡 livre,desentupidora Colatina,1,1,0,7,9,0.2222,██░░░░░░░░,129051,
55,Caraguatatuba,SP,142248,105278,🟡 livre,desentupidora Caraguatatuba,0,0,0,9,9,0.0000,░░░░░░░░░░,105278,
56,Arapongas,PR,124838,105014,🟡 livre,desentupidora Arapongas,2,0,0,7,9,0.2222,██░░░░░░░░,128350,
57,Tatuí,SP,129130,104337,🟡 livre,desentupidora Tatuí,2,1,0,6,9,0.3333,███░░░░░░░,139116,
58,Porto Seguro,BA,182630,104026,🟢 cadastrada,,,,,,,,,104026,
59,Passos,MG,116951,103817,🟡 livre,desentupidora Passos,1,2,0,5,8,0.3750,████░░░░░░,142748,
60,Ilhéus,BA,189149,103767,🟡 livre,desentupidora Ilhéus,3,1,0,6,10,0.4000,████░░░░░░,145274,
61,Poá,SP,106355,103760,🟡 livre,desentupidora Poá,0,0,0,9,9,0.0000,░░░░░░░░░░,103760,
62,Formosa,GO,121559,103471,🟡 livre,desentupidora Formosa,1,0,0,8,9,0.1111,█░░░░░░░░░,114968,
63,Itumbiara,GO,113322,103327,🟡 livre,desentupidora Itumbiara,1,0,0,7,8,0.1250,█░░░░░░░░░,116243,
64,Itabira,MG,118053,102198,🟡 livre,desentupidora Itabira,2,2,0,4,8,0.5000,█████░░░░░,153297,
65,Araxá,MG,118786,101978,🟡 livre,desentupidora Araxá,2,0,0,5,7,0.2857,███░░░░░░░,131115,
66,Assis,SP,104858,100527,🟡 livre,desentupidora Assis,2,0,0,7,9,0.2222,██░░░░░░░░,122866,
67,Ourinhos,SP,106911,100368,🟡 livre,desentupidora Ourinhos,1,1,0,7,9,0.2222,██░░░░░░░░,122672,
68,Santana de Parnaíba,SP,163787,100336,🟡 livre,desentupidora Santana de Parnaíba,0,0,0,9,9,0.0000,░░░░░░░░░░,100336,
69,Araruama,RJ,137906,99610,🟡 livre,desentupidora Araruama,0,1,0,8,9,0.1111,█░░░░░░░░░,110678,
70,Campo Mourão,PR,104122,99426,🟡 livre,desentupidora Campo Mourão,2,0,0,6,8,0.2500,███░░░░░░░,124283,
71,Várzea Paulista,SP,119655,98943,🟡 livre,desentupidora Várzea Paulista,0,0,0,9,9,0.0000,░░░░░░░░░░,98943,
72,Trindade,GO,153560,98877,🟡 livre,desentupidora Trindade,2,1,0,6,9,0.3333,███░░░░░░░,131836,
73,Conselheiro Lafaiete,MG,138946,97082,🟡 livre,desentupidora Conselheiro Lafaiete,2,1,0,6,9,0.3333,███░░░░░░░,129443,
74,Votuporanga,SP,100568,96636,🟡 livre,desentupidora Votuporanga,1,0,0,9,10,0.1000,█░░░░░░░░░,106300,
75,Pará de Minas,MG,102844,96632,🟡 livre,desentupidora Pará de Minas,1,0,0,7,8,0.1250,█░░░░░░░░░,108711,
76,Campo Largo,PR,144504,96442,🟡 livre,desentupidora Campo Largo,0,0,0,9,9,0.0000,░░░░░░░░░░,96442,
77,Muriaé,MG,108447,95889,🟡 livre,desentupidora Muriaé,1,1,0,4,6,0.3333,███░░░░░░░,127852,
78,Leme,SP,101537,95506,🟡 livre,desentupidora Leme,1,0,0,8,9,0.1111,█░░░░░░░░░,106118,
79,Jataí,GO,111634,94822,🟡 livre,desentupidora Jataí,2,0,0,7,9,0.2222,██░░░░░░░░,115894,
80,Itatiba,SP,127112,94520,🟡 livre,desentupidora Itatiba,1,0,0,8,9,0.1111,█░░░░░░░░░,105022,
81,Ituiutaba,MG,106775,93353,🟡 livre,desentupidora Ituiutaba,1,2,0,6,9,0.3333,███░░░░░░░,124471,
82,Itaúna,MG,103272,93120,🟡 livre,desentupidora Itaúna,1,0,0,7,8,0.1250,█░░░░░░░░░,104760,
83,Itapecerica da Serra,SP,163003,92961,🟡 livre,desentupidora Itapecerica da Serra,0,0,0,9,9,0.0000,░░░░░░░░░░,92961,
84,Lavras,MG,110682,92895,🟡 livre,desentupidora Lavras,2,1,0,6,9,0.3333,███░░░░░░░,123860,
85,Angra dos Reis,RJ,179142,92079,🟡 livre,desentupidora Angra dos Reis,3,1,0,5,9,0.4444,████░░░░░░,133003,
86,Paranavaí,PR,96209,91995,🟡 livre,desentupidora Paranavaí,0,0,0,9,9,0.0000,░░░░░░░░░░,91995,
87,Itaperuna,RJ,107297,91557,🟡 livre,desentupidora Itaperuna,1,0,0,8,9,0.1111,█░░░░░░░░░,101730,
88,Ribeirão Pires,SP,118954,90453,🟡 livre,desentupidora Ribeirão Pires,0,0,0,9,9,0.0000,░░░░░░░░░░,90453,
89,São João del Rei,MG,94468,90226,🟡 livre,desentupidora São João del Rei,1,0,0,8,9,0.1111,█░░░░░░░░░,100251,
90,Pato Branco,PR,97821,89868,🟡 livre,desentupidora Pato Branco,3,1,0,4,8,0.5000,█████░░░░░,134802,
91,Patrocínio,MG,94357,89375,🟡 livre,desentupidora Patrocínio,2,0,0,7,9,0.2222,██░░░░░░░░,109236,
92,Atibaia,SP,167161,89147,🟡 livre,desentupidora Atibaia,1,0,0,8,9,0.1111,█░░░░░░░░░,99052,
93,Manhuaçu,MG,97328,88783,🟡 livre,desentupidora Manhuaçu,1,1,0,7,9,0.2222,██░░░░░░░░,108513,
94,Teófilo Otoni,MG,142851,88225,🟡 livre,desentupidora Teófilo Otoni,2,3,0,4,9,0.5556,██████░░░░,137239,
95,Planaltina,GO,112304,86901,🟡 livre,desentupidora Planaltina,0,0,1,8,9,0.1111,█░░░░░░░░░,96557,
96,Ubá,MG,107423,86411,🟡 livre,desentupidora Ubá,2,2,0,5,9,0.4444,████░░░░░░,124816,
97,Sabará,MG,134576,86384,🟡 livre,desentupidora Sabará,0,0,0,9,9,0.0000,░░░░░░░░░░,86384,
98,Coronel Fabriciano,MG,108708,86347,🟡 livre,desentupidora Coronel Fabriciano,1,0,0,8,9,0.1111,█░░░░░░░░░,95941,
99,Teixeira de Freitas,BA,153738,85694,🟡 livre,desentupidora Teixeira de Freitas,1,2,0,6,9,0.3333,███░░░░░░░,114259,
100,São João da Boa Vista,SP,96080,85329,🟡 livre,desentupidora São João da Boa Vista,1,0,0,7,8,0.1250,█░░░░░░░░░,95995,
101,São Pedro da Aldeia,RJ,110677,81956,🟡 livre,desentupidora São Pedro da Aldeia,1,1,0,7,9,0.2222,██░░░░░░░░,100168,
102,Caieiras,SP,98549,81608,🟡 livre,desentupidora Caieiras,0,1,0,8,9,0.1111,█░░░░░░░░░,90676,
103,Mogi Mirim,SP,95742,81122,🟡 livre,desentupidora Mogi Mirim,1,0,0,8,9,0.1111,█░░░░░░░░░,90136,
104,Francisco Beltrão,PR,102312,80816,🟡 livre,desentupidora Francisco Beltrão,3,0,0,5,8,0.3750,████░░░░░░,111122,
105,Nova Serrana,MG,114791,80767,🟡 livre,desentupidora Nova Serrana,2,0,0,6,8,0.2500,███░░░░░░░,100959,
106,Aracruz,ES,103363,80499,🟡 livre,desentupidora Aracruz,2,0,0,7,9,0.2222,██░░░░░░░░,98388,
107,João Monlevade,MG,83791,80188,🟡 livre,desentupidora João Monlevade,1,0,0,7,8,0.1250,█░░░░░░░░░,90212,
108,Lorena,SP,87468,80156,🟡 livre,desentupidora Lorena,0,0,0,9,9,0.0000,░░░░░░░░░░,80156,
109,Alvorada,RS,194062,80012,🟡 livre,desentupidora Alvorada,2,0,0,8,10,0.2000,██░░░░░░░░,96014,
110,Barra do Piraí,RJ,98506,79711,🟡 livre,desentupidora Barra do Piraí,1,0,0,8,9,0.1111,█░░░░░░░░░,88568,
111,Avaré,SP,96450,79407,🟡 livre,desentupidora Avaré,1,1,0,6,8,0.2500,███░░░░░░░,99259,
112,Caçapava,SP,100071,78676,🟡 livre,desentupidora Caçapava,0,0,0,9,9,0.0000,░░░░░░░░░░,78676,
113,Timóteo,MG,84172,77741,🟡 livre,desentupidora Timóteo,4,0,0,5,9,0.4444,████░░░░░░,112293,
114,Matão,SP,81075,77151,🟡 livre,desentupidora Matão,0,0,0,9,9,0.0000,░░░░░░░░░░,77151,
115,Bebedouro,SP,78257,76371,🟡 livre,desentupidora Bebedouro,1,0,0,9,10,0.1000,█░░░░░░░░░,84008,
116,Itajubá,MG,96855,76206,🟡 livre,desentupidora Itajubá,1,0,0,8,9,0.1111,█░░░░░░░░░,84673,
117,Bagé,RS,121928,75790,🟡 livre,desentupidora Bagé,2,2,0,4,8,0.5000,█████░░░░░,113685,
118,Três Rios,RJ,82319,75610,🟡 livre,desentupidora Três Rios,0,0,0,9,9,0.0000,░░░░░░░░░░,75610,
119,Lins,SP,76844,74777,🟡 livre,desentupidora Lins,2,0,0,7,9,0.2222,██░░░░░░░░,91394,
120,Cajamar,SP,98365,74679,🟡 livre,desentupidora Cajamar,1,0,0,8,9,0.1111,█░░░░░░░░░,82977,
121,Telêmaco Borba,PR,77479,74628,🟡 livre,desentupidora Telêmaco Borba,3,1,0,6,10,0.4000,████░░░░░░,104479,
122,Almirante Tamandaré,PR,125861,73729,🟡 livre,desentupidora Almirante Tamandaré,1,0,0,9,10,0.1000,█░░░░░░░░░,81102,
123,Cruzeiro,SP,76444,73669,🟡 livre,desentupidora Cruzeiro,0,0,0,9,9,0.0000,░░░░░░░░░░,73669,
124,São Mateus,ES,134423,73597,🟡 livre,desentupidora São Mateus,0,0,0,9,9,0.0000,░░░░░░░░░░,73597,
125,Catalão,GO,122760,72441,🟡 livre,desentupidora Catalão,1,2,0,6,9,0.3333,███░░░░░░░,96588,
126,Jaboticabal,SP,73473,71820,🟡 livre,desentupidora Jaboticabal,0,0,0,9,9,0.0000,░░░░░░░░░░,71820,
127,Paracatu,MG,99005,71729,🟡 livre,desentupidora Paracatu,2,1,0,6,9,0.3333,███░░░░░░░,95639,
128,Serra Talhada,PE,98816,71483,🟡 livre,desentupidora Serra Talhada,1,0,0,8,9,0.1111,█░░░░░░░░░,79426,
129,Viçosa,MG,79517,70651,🟡 livre,desentupidora Viçosa,2,0,0,7,9,0.2222,██░░░░░░░░,86351,
130,Luís Eduardo Magalhães,BA,118382,70496,🟡 livre,desentupidora Luís Eduardo Magalhães,1,3,0,5,9,0.4444,████░░░░░░,101828,
131,Itapira,SP,74038,70440,🟡 livre,desentupidora Itapira,2,0,0,7,9,0.2222,██░░░░░░░░,86093,
132,Mineiros,GO,74999,70072,🟡 livre,desentupidora Mineiros,1,3,0,5,9,0.4444,████░░░░░░,101215,
133,Lages,SC,172458,69725,🟡 livre,desentupidora Lages,2,1,0,7,10,0.3000,███░░░░░░░,90643,
134,Sarandi,PR,128106,69331,🟡 livre,desentupidora Sarandi,2,0,0,7,9,0.2222,██░░░░░░░░,84738,
135,Vinhedo,SP,79089,68918,🟡 livre,desentupidora Vinhedo,0,0,0,9,9,0.0000,░░░░░░░░░░,68918,
136,Alfenas,MG,82303,68756,🟡 livre,desentupidora Alfenas,1,0,0,8,9,0.1111,█░░░░░░░░░,76396,
137,Rio Grande,RS,198935,68573,🟡 livre,desentupidora Rio Grande,3,1,0,5,9,0.4444,████░░░░░░,99050,
138,Primavera do Leste,MT,96006,68366,🟡 livre,desentupidora Primavera do Leste,3,1,0,5,9,0.4444,████░░░░░░,98751,
139,Fernandópolis,SP,73508,68304,🟡 livre,desentupidora Fernandópolis,3,0,0,7,10,0.3000,███░░░░░░░,88795,
140,Itapeva,SP,92393,68149,🟡 livre,desentupidora Itapeva,1,0,0,8,9,0.1111,█░░░░░░░░░,75721,
141,Pirassununga,SP,75594,67294,🟡 livre,desentupidora Pirassununga,0,0,0,9,9,0.0000,░░░░░░░░░░,67294,
142,Parnaíba,PI,170491,66611,🟡 livre,desentupidora Parnaíba,2,0,0,7,9,0.2222,██░░░░░░░░,81413,
143,Cubatão,SP,114870,66131,🟡 livre,desentupidora Cubatão,0,0,0,10,10,0.0000,░░░░░░░░░░,66131,
144,Saquarema,RJ,95315,65805,🟡 livre,desentupidora Saquarema,1,0,0,8,9,0.1111,█░░░░░░░░░,73117,
145,Lençóis Paulista,SP,68568,65695,🟡 livre,desentupidora Lençóis Paulista,2,1,0,7,10,0.3000,███░░░░░░░,85404,
146,Goianésia,GO,78009,65691,🟡 livre,desentupidora Goianésia,1,0,0,7,8,0.1250,█░░░░░░░░░,73902,
147,Guarapari,ES,136311,65579,🟡 livre,desentupidora Guarapari,1,0,0,6,7,0.1429,█░░░░░░░░░,74947,
148,Arujá,SP,90273,64554,🟡 livre,desentupidora Arujá,0,0,0,9,9,0.0000,░░░░░░░░░░,64554,
149,Vacaria,RS,66146,64036,🟡 livre,desentupidora Vacaria,2,1,0,6,9,0.3333,███░░░░░░░,85381,
150,Itapetinga,BA,68724,63968,🟡 livre,desentupidora Itapetinga,1,0,0,8,9,0.1111,█░░░░░░░░░,71076,
151,Três Corações,MG,78291,63142,🟡 livre,desentupidora Três Corações,0,0,0,9,9,0.0000,░░░░░░░░░░,63142,
152,Unaí,MG,91320,62819,🟡 livre,desentupidora Unaí,3,1,0,4,8,0.5000,█████░░░░░,94229,
153,Valença,BA,90053,62524,🟡 livre,desentupidora Valença,2,0,0,6,8,0.2500,███░░░░░░░,78155,
154,Mirassol,SP,65811,61599,🟡 livre,desentupidora Mirassol,0,0,0,9,9,0.0000,░░░░░░░░░░,61599,
155,São Sebastião do Paraíso,MG,75179,60887,🟡 livre,desentupidora São Sebastião do Paraíso,0,1,0,8,9,0.1111,█░░░░░░░░░,67652,
156,Sorriso,MT,124665,60712,🟡 livre,desentupidora Sorriso,2,0,0,6,8,0.2500,███░░░░░░░,75890,
157,Curvelo,MG,84297,60374,🟡 livre,desentupidora Curvelo,1,1,0,7,9,0.2222,██░░░░░░░░,73790,
158,Altamira,PA,138749,60189,🟡 livre,desentupidora Altamira,3,2,0,4,9,0.5556,██████░░░░,93627,
159,Formiga,MG,70897,60149,🟡 livre,desentupidora Formiga,1,0,0,7,8,0.1250,█░░░░░░░░░,67668,
160,Castro,PR,75644,60046,🟡 livre,desentupidora Castro,2,0,0,7,9,0.2222,██░░░░░░░░,73390,
161,Nova Odessa,SP,64596,59461,🟡 livre,desentupidora Nova Odessa,0,0,0,9,9,0.0000,░░░░░░░░░░,59461,
162,Penápolis,SP,63426,59303,🟡 livre,desentupidora Penápolis,0,0,0,9,9,0.0000,░░░░░░░░░░,59303,
163,União dos Palmares,AL,60860,59278,🟡 livre,desentupidora União dos Palmares,1,0,0,7,8,0.1250,█░░░░░░░░░,66688,
164,Alagoinhas,BA,161196,58740,🟡 livre,desentupidora Alagoinhas,1,1,0,6,8,0.2500,███░░░░░░░,73425,
165,Tupã,SP,65433,58523,🟡 livre,desentupidora Tupã,1,0,0,8,9,0.1111,█░░░░░░░░░,65026,
166,Itanhaém,SP,118495,58477,🟡 livre,desentupidora Itanhaém,0,0,0,9,9,0.0000,░░░░░░░░░░,58477,
167,Cianorte,PR,82988,58349,🟡 livre,desentupidora Cianorte,3,0,0,7,10,0.3000,███░░░░░░░,75854,
168,Jaguariúna,SP,62309,58278,🟡 livre,desentupidora Jaguariúna,1,0,0,8,9,0.1111,█░░░░░░░░░,64753,
169,Mococa,SP,69372,58141,🟡 livre,desentupidora Mococa,1,0,0,8,9,0.1111,█░░░░░░░░░,64601,
170,Timon,MA,182711,58011,🟡 livre,desentupidora Timon,3,0,0,5,8,0.3750,████░░░░░░,79765,
171,Itapema,SC,86116,57999,🟡 livre,desentupidora Itapema,1,0,0,9,10,0.1000,█░░░░░░░░░,63799,
172,Ponte Nova,MG,59638,57777,🟡 livre,desentupidora Ponte Nova,1,0,0,8,9,0.1111,█░░░░░░░░░,64197,
173,Caratinga,MG,90890,56979,🟡 livre,desentupidora Caratinga,2,0,0,7,9,0.2222,██░░░░░░░░,69641,
174,Ibitinga,SP,62143,56730,🟡 livre,desentupidora Ibitinga,1,0,0,8,9,0.1111,█░░░░░░░░░,63033,
175,Porto Feliz,SP,58605,56495,🟡 livre,desentupidora Porto Feliz,2,0,0,8,10,0.2000,██░░░░░░░░,67794,
176,Araguaína,TO,183024,56225,🟡 livre,desentupidora Araguaína,1,1,0,7,9,0.2222,██░░░░░░░░,68719,
177,Mariana,MG,64506,55249,🟡 livre,desentupidora Mariana,1,0,0,8,9,0.1111,█░░░░░░░░░,61388,
178,Ponta Porã,MS,98598,55136,🟡 livre,desentupidora Ponta Porã,1,2,0,6,9,0.3333,███░░░░░░░,73515,
179,Três Pontas,MG,57209,55041,🟡 livre,desentupidora Três Pontas,0,1,0,8,9,0.1111,█░░░░░░░░░,61157,
180,Cosmópolis,SP,61167,55001,🟡 livre,desentupidora Cosmópolis,1,0,0,8,9,0.1111,█░░░░░░░░░,61112,
181,Andradina,SP,61625,54945,🟡 livre,desentupidora Andradina,1,0,0,8,9,0.1111,█░░░░░░░░░,61050,
182,Cacoal,RO,98280,54496,🟡 livre,desentupidora Cacoal,2,1,0,6,9,0.3333,███░░░░░░░,72661,
183,Caldas Novas,GO,106820,54168,🟡 livre,desentupidora Caldas Novas,2,0,0,7,9,0.2222,██░░░░░░░░,66205,
184,Monte Mor,SP,67832,54123,🟡 livre,desentupidora Monte Mor,1,0,0,8,9,0.1111,█░░░░░░░░░,60137,
185,Gurupi,TO,90209,53602,🟡 livre,desentupidora Gurupi,2,0,0,7,9,0.2222,██░░░░░░░░,65514,
186,Irati,PR,61004,53501,🟡 livre,desentupidora Irati,2,0,0,7,9,0.2222,██░░░░░░░░,65390,
187,Olímpia,SP,56874,52921,🟡 livre,desentupidora Olímpia,0,0,0,9,9,0.0000,░░░░░░░░░░,52921,
188,Mongaguá,SP,64845,52881,🟡 livre,desentupidora Mongaguá,0,0,0,9,9,0.0000,░░░░░░░░░░,52881,
189,Campo Limpo Paulista,SP,79781,52616,🟡 livre,desentupidora Campo Limpo Paulista,0,0,0,8,8,0.0000,░░░░░░░░░░,52616,
190,Batatais,SP,59939,52333,🟡 livre,desentupidora Batatais,0,0,0,9,9,0.0000,░░░░░░░░░░,52333,
191,São José do Rio Pardo,SP,53427,52204,🟡 livre,desentupidora São José do Rio Pardo,2,1,0,7,10,0.3000,███░░░░░░░,67865,
192,Paço do Lumiar,MA,153158,52089,🟡 livre,desentupidora Paço do Lumiar,1,0,1,6,8,0.2500,███░░░░░░░,65111,
193,Porto Ferreira,SP,53966,51705,🟡 livre,desentupidora Porto Ferreira,1,0,0,8,9,0.1111,█░░░░░░░░░,57450,
194,Corumbá,MS,98751,51370,🟡 livre,desentupidora Corumbá,1,1,0,8,10,0.2000,██░░░░░░░░,61644,
195,Cataguases,MG,67732,51266,🟡 livre,desentupidora Cataguases,2,0,0,5,7,0.2857,███░░░░░░░,65913,
196,Amparo,SP,69792,50843,🟡 livre,desentupidora Amparo,0,0,0,9,9,0.0000,░░░░░░░░░░,50843,
197,Ibiporã,PR,53276,50708,🟡 livre,desentupidora Ibiporã,1,0,0,8,9,0.1111,█░░░░░░░░░,56342,
198,Barra do Garças,MT,73878,50244,🟡 livre,desentupidora Barra do Garças,2,1,0,5,8,0.3750,████░░░░░░,69086,
199,Itupeva,SP,74994,50231,🟡 livre,desentupidora Itupeva,0,0,0,9,9,0.0000,░░░░░░░░░░,50231,
200,Capivari,SP,51369,50069,🟡 livre,desentupidora Capivari,1,0,0,8,9,0.1111,█░░░░░░░░░,55632,
201,Peruíbe,SP,70629,50019,🟡 livre,desentupidora Peruíbe,0,0,0,9,9,0.0000,░░░░░░░░░░,50019,
202,Campo Belo,MG,54027,49753,🟡 livre,desentupidora Campo Belo,0,0,0,9,9,0.0000,░░░░░░░░░░,49753,
203,Senhor do Bonfim,BA,78090,49337,🟡 livre,desentupidora Senhor do Bonfim,0,2,0,7,9,0.2222,██░░░░░░░░,60301,
204,Pesqueira,PE,65481,49183,🟡 livre,desentupidora Pesqueira,1,0,0,8,9,0.1111,█░░░░░░░░░,54648,
205,Taquaritinga,SP,53264,49125,🟡 livre,desentupidora Taquaritinga,1,0,0,8,9,0.1111,█░░░░░░░░░,54583,
206,Leopoldina,MG,52739,49021,🟡 livre,desentupidora Leopoldina,0,0,0,9,9,0.0000,░░░░░░░░░░,49021,
207,Santiago,RS,50336,48937,🟡 livre,desentupidora Santiago,3,0,0,6,9,0.3333,███░░░░░░░,65249,
208,São Sebastião,SP,84280,48638,🟡 livre,desentupidora São Sebastião,0,0,0,9,9,0.0000,░░░░░░░░░░,48638,
